Full_Date,agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional Volatility,openness_Aesthetic Sensitivity,openness_Creative Imagination,openness_Intellectual Curiosity,all_beeps
2019-04-15 10:06,5,4,NA,4,NA,4,4,NA,5,2,1,1,NA,3,2,1
2019-04-15 14:01,3,NA,3,5,NA,4,NA,NA,1,4.5,3,NA,NA,4,3,2
2019-04-15 18:01,5,NA,3,3,2,NA,NA,2,2,4,3,4,NA,3,3,3
2019-04-15 22:01,NA,4,3,4,4,NA,3,NA,2,2,2,4,NA,4,2,4
2019-04-16 2:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
2019-04-16 6:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2019-04-16 10:00,NA,3,NA,NA,5,NA,5,5,NA,1,1,1,2,NA,NA,7
2019-04-16 14:01,NA,5,5,5,NA,5,NA,NA,5,3,1,2,NA,5,1,8
2019-04-16 18:04,3,5,NA,4,4,NA,NA,3,5,1.5,1,1,4,3,NA,9
2019-04-16 22:02,NA,NA,3,3,NA,5,NA,NA,5,3,3,2,3,NA,1,10
2019-04-17 2:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
2019-04-17 6:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
2019-04-17 10:24,3,NA,NA,NA,4,4,NA,3,3,2,2,2,NA,3,NA,13
2019-04-17 15:02,4,4,NA,NA,4,2,NA,4,NA,3,2,3,NA,2,3,14
2019-04-17 18:06,3,NA,4,NA,3,4,4,NA,3,NA,2,2.5,NA,NA,1.5,15
2019-04-17 22:55,NA,3,3,3,1,NA,3.5,NA,NA,2.5,2.5,NA,3,NA,NA,16
2019-04-18 2:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
2019-04-18 6:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
2019-04-18 12:22,3,NA,NA,NA,3,NA,4,4,NA,4,2,4,NA,2,2,19
2019-04-18 14:42,NA,4.5,NA,4,2,NA,2.5,NA,NA,2.3333333333333335,1,NA,4,NA,4,20
2019-04-18 18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
2019-04-18 22:26,3,NA,3,NA,NA,3,NA,3,3,3,3,3,NA,3,3,22
2019-04-19 2:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
2019-04-19 6:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2019-04-19 10:13,2.6666666666666665,NA,NA,NA,4,4,NA,4,4,4,3,4,2,2,NA,25
2019-04-19 14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2019-04-19 18:01,NA,3,3,3,3,NA,3,NA,3,3,3,NA,3,3,NA,27
