SID,Full_Date,agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional Volatility,openness_Aesthetic Sensitivity,openness_Creative Imagination,openness_Intellectual Curiosity,all_beeps
01,2018-10-22 15:23,NA,5,3,4,4,NA,4,4,NA,2.6666666666666665,2,NA,NA,2,3,1
01,2018-10-22 19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
01,2018-10-22 23:23,NA,3,2,5,1,NA,4,3,NA,5,3,NA,5,NA,4,3
01,2018-10-22 23:25,NA,2.5,NA,NA,NA,2,2,4,NA,3.5,3,NA,NA,2,2,4
01,2018-10-23 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
01,2018-10-23 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
01,2018-10-23 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
01,2018-10-23 17:50,NA,3,4,NA,2,2,2,4,NA,4,3,3,NA,2,NA,8
01,2018-10-23 19:39,5,3,NA,NA,4,NA,NA,4,NA,2,2,NA,5,4,NA,9
01,2018-10-23 23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
01,2018-10-24 0:00,3,NA,4,NA,1,1,NA,2,5,4,3,4,NA,2.5,NA,11
01,2018-10-24 3:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
01,2018-10-24 7:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
01,2018-10-24 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
