agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy.Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional.Volatility,openness_Aesthetic.Sensitivity,openness_Creative.Imagination,openness_Intellectual.Curiosity,Full_Date,all_beeps
4.453291247801067,5,4,3.065655835246142,2,4,3.207367348409911,2,5,4,2,2,3,4,5.27762707914424,2018-10-22 10:35,1
3,4,3.2302495221139758,2.9719526299589165,3,4,4,3.041980494389685,3,4,2.5,3,3,3.2071342589412164,4.070097637890052,2018-10-22 14:46,2
3.426459231847381,4.870311606067544,3.5,4.5,3.4408230008539067,3.925462586585786,4,3.256994834095476,1.2688832485568728,5,3,3.8651643181547737,4,3.5828939574994627,3,2018-10-22 18:23,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-22 22:00,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 2:00,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 6:00,6
4,4.07067443439446,2.444749002199923,4,3.7249755327906735,4,5,2,3.380456474204947,4.5,2.5,2.4670363152293295,3,3,3.2283670227885275,2018-10-23 10:45,7
2.9651570593627237,4.1316677568671905,3,4,4,3.4375209161968776,3,2,0.8479626807264036,4,2,2,3.3274450504900113,2.0607992618331847,2.5,2018-10-23 14:25,8
3,5,3.136741228040734,5,3.3844556244860255,5,5,3.3850801039145946,2,5,2.5,3,1.828704737855427,4,3.9979313580577225,2018-10-23 18:43,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 22:00,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 2:00,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 6:00,12
5,5,3.8989494589796103,3.4464170354228707,2,4,3,1,3.4699743913898775,3,2.5,2,2.771144162256215,2,3,2018-10-24 11:00,13
3.4654892225950213,4.493974440291151,3,4,2.85532943775062,3,4.989039801949285,4,2.543969639484855,5,2,2.6962302944692915,3.858002144362071,4,3,2018-10-24 14:23,14
1.0957058321837096,1.7398210580567288,3.5,2.7554282691983873,2,2,1.6691428224563152,3,2,4,2,5,4.062520769658031,2.1916794608497945,2.5,2018-10-24 18:33,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 22:00,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-25 2:00,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-25 6:00,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-25 10:00,19
