SID,agreeableness_Compassion,agreeableness_Respectfulness,agreeableness_Trust,conscientiousness_Organization,conscientiousness_Productiveness,conscientiousness_Responsibility,extraversion_Assertiveness,extraversion_Energy.Level,extraversion_Sociability,neuroticism_Anxiety,neuroticism_Depression,neuroticism_Emotional.Volatility,openness_Aesthetic.Sensitivity,openness_Creative.Imagination,openness_Intellectual.Curiosity,Full_Date,all_beeps
01,2.73835122668716,5,3,4,4,5.145981608651255,4,4,3.9486576571378413,2.6666666666666665,2,2.1888560122125966,4.519182608736901,2,3,2018-10-22 15:23,1
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-22 19:00,2
01,2.8771799145246186,3,2,5,1,3.6640567819772984,4,3,2.7321863122317085,5,3,3.9395509155407007,5,1.8427721948781342,4,2018-10-22 23:23,3
01,2.998750382488846,2.5,2.506878032003393,1.6091262612868777,2.336735144921188,2,2,4,2.996054281593905,3.5,3,3.2305617707699437,1.8050691461951154,2,2,2018-10-22 23:25,4
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 3:00,5
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 7:00,6
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 11:00,7
01,3.5642979104127797,3,4,3.986956259741717,2,2,2,4,3.1125060337206114,4,3,3,3.7787745192934663,2,3.2976551544982198,2018-10-23 17:50,8
01,5,3,3.940245567389055,3.8563026260601143,4,3.7054075011981418,4.84120182191421,4,3.2111646552043105,2,2,2.6329361192348326,5,4,4.140510294044988,2018-10-23 19:39,9
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-23 23:00,10
01,3,3.8143715750152185,4,1.2000380001279831,1,1,2.0603312146370074,2,5,4,3,4,2.358496089517843,2.5,1.299777558404335,2018-10-24 0:00,11
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 3:00,12
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 7:00,13
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 11:00,14
01,2,5,3.7708874946792257,2.7653501643232494,3,2.356393593035543,2.7670261765626853,1.5,3.942192997219721,4,3,1.914185814029045,4,2.324664012875811,4,2018-10-24 11:44,15
01,2,5.071443190288254,2,4,2.0704568472336877,1,4,4.661718137091789,5,4,3,4,4.5,3.11606527277384,3.4776841729686883,2018-10-24 15:37,16
01,3.4453867863505825,3.362567131828757,3,3.090358344358702,2,2,1.141432931247858,3,2.156599439044456,4,3,3.5,4,2.384670265820887,3,2018-10-24 20:46,17
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-24 23:00,18
01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-25 7:00,19
