neuroticism_Depression_N7,extraversion_Sociability_E2,conscientiousness_Productiveness_C8,neuroticism_Depression_N5,openness_Intellectual.Curiosity_O1,conscientiousness_Productiveness_C6,neuroticism_Anxiety_N2,openness_Creative.Imagination_O9,agreeableness_Respectfulness_A7,neuroticism_Depression_N6,extraversion_Energy.Level_E12,agreeableness_Trust_A10,neuroticism_Anxiety_N3,extraversion_Energy.Level_E11,openness_Aesthetic.Sensitivity_O5,extraversion_Assertiveness_E5,conscientiousness_Responsibility_C11,agreeableness_Trust_A11,neuroticism_Emotional.Volatility_N12,openness_Aesthetic.Sensitivity_O6,neuroticism_Emotional.Volatility_N9,conscientiousness_Organization_C4,extraversion_Assertiveness_E8,openness_Aesthetic.Sensitivity_O8,agreeableness_Compassion_A1,conscientiousness_Organization_C2,extraversion_Energy.Level_E10,conscientiousness_Responsibility_C10,agreeableness_Respectfulness_A8,neuroticism_Anxiety_N1,openness_Creative.Imagination_O11,extraversion_Energy.Level_E9,extraversion_Sociability_E3,openness_Creative.Imagination_O10,conscientiousness_Responsibility_C9,conscientiousness_Productiveness_C7,openness_Intellectual.Curiosity_O2,agreeableness_Trust_A9,agreeableness_Compassion_A2,neuroticism_Emotional.Volatility_N11,agreeableness_Respectfulness_A6,openness_Creative.Imagination_O12,agreeableness_Compassion_A3,extraversion_Assertiveness_E6,extraversion_Assertiveness_E7,conscientiousness_Productiveness_C5,extraversion_Sociability_E1,neuroticism_Depression_N8,openness_Intellectual.Curiosity_O3,conscientiousness_Organization_C3,openness_Aesthetic.Sensitivity_O7,agreeableness_Trust_A12,agreeableness_Respectfulness_A5,conscientiousness_Organization_C1,openness_Intellectual.Curiosity_O4,neuroticism_Anxiety_N4,neuroticism_Emotional.Volatility_N10,extraversion_Sociability_E4,agreeableness_Compassion_A4,conscientiousness_Responsibility_C12,Full_Date,all_beeps
2,1.8848566496376395,3.3375417866381794,3,3,3,3,1.0189156039877325,0.6292251810302778,3.1462971750064437,2.9415569148203056,3.8497189525699738,4.255090135828383,2.6331366401738934,2.9699360567432587,3.4678594722046956,2,3,2.463322604244156,1.4019805011051762,2.518625766373468,2.489294220584376,4.038031958589479,4.548243134132692,3.8649303162389583,3.832566736235428,1.8908673956086668,2.749050899611118,2.012843355664287,2.0336893796149744,3.296582417625001,2,4,1.6129711999439869,3.5419738660817406,2.423014267748357,2.8136947760303435,2.9710044928669865,3,1.5369906467802172,3.7841421883344037,3.0575443354805154,3.3999480108966234,2.0289177139089243,1.5595408629931455,2.6024748888718103,2.2138299937467742,2.172628298149601,3,2.5573853393369155,3.2445442393051747,1.7974889859787417,3.312142146568948,2.751995558367997,4.240095995205601,3,3.3142405577577465,3.33460690639443,2.523087614655683,3.0017279690479257,2019-04-15 10:09,1
4.2975656939447795,3.5989554026743016,2.642019296597808,3,4.477124451120185,3.996393212488355,3,3.3127915631593874,1.7880484183034056,2.5899297252079836,3.181152200677741,4.084063429645374,3.5246299952203066,2.412995854519594,3.2081823531410465,4,2.271652385369982,1.5769296649594726,4,4,3,2.1719114996611024,3.7317462583354466,2.0691541111142153,3.979926558190871,4.44563718260409,2.979944909359512,4,2.5460084714597055,3.4484356988241136,3.555284088524383,2.879246729459095,3,3.7153832342064943,3.744905053192505,2.7532742725674217,3.3250153638817994,3.582870221189761,3,3.57574806494015,4.324041467044264,2.205008059489314,2.340916705313903,3.5174797146009933,2.1726349658775144,4.369314404985951,3.291092733971184,3.575437256656189,1.9372453174924082,2.654053001969431,2.0839049606972515,2.9032663220332164,4,5.020601703056533,2,3.7463954269920743,3.5218464093002275,2.452254375313131,1.8107664414378979,3,2019-04-15 14:01,2
2.370113337720099,1.9672409951130958,3,2,1.7612598784845035,2.8101931757062486,2,2.3290392554142465,2,3.2363308948038694,2,2.461863826992254,1.1446003855386309,2.4259516848995966,1.4993913110677533,2.087749076807655,2,2.0286090548271827,2.9245199340464687,3.2777263961465333,1.6316411068542456,1.2071431336267116,1.5119474613302577,2.6074566520994473,3,3.945782221170168,0.9820229404927119,3.3288682745100617,1.8520380831481233,1,3.558580738078946,2,2.974015729214077,1,3.3522424708554874,2.1503868365843486,0.3495023821613521,2.260614063897073,2.0318438762938733,2.6303418416946545,2.9101201424466274,2,0.9802950834781796,2.382377072479835,2.213434494392132,1.7265213113209081,2.1976605196627927,2.477919323934972,0.9415421121829319,2.281362441871272,2.6907234137232217,1.4030469698087602,2.902558501142865,3.0980158620364495,2.9965994727565266,3.87595102900829,2,2.0343392619953473,2.3111798294688692,0.777516623978493,2019-04-15 18:12,3
3.2241058378013636,1.5702798084902736,4.301897564435887,3,2.7299923643179205,2.613941840783654,2,2.4879699723924906,2,2.6657156967291162,3.84441513893751,3.777376705765752,1.4375139057746482,3.441311119181464,2,2,2.725461085070358,2,2.763594752281989,1.6368437579559045,1.56454461060998,2.4959261750714115,2.263075558770146,2.0234422647568477,3.6707768763577935,3,2.846422828439127,3.7661683641284203,1.0615104157577078,2,2.8561810364546005,1.3685704208064076,4.3777565805342,2.4069708525822575,4.521070361490068,4,2.959648988131038,2.691301664670877,2.4411518663907,1.6954745539796343,3.118717349901227,1.847700160797898,2.593336267924185,1.8086697420688485,3.607641897702292,2.853631179631694,1.6019746920539866,3.929735267615636,2,1.527033502855978,3.3808647700022543,1.270543764192372,4.4770589249157755,3.3017488579975303,3.5420638864992258,2,2.11854442661025,2,1.2086665066314979,0.49402831803930747,2019-04-15 22:12,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-16 2:00,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-16 6:00,6
1.2678154065075913,2,4,2,2,1.004954672480809,2,1.5258282223158546,2,2.484799807425886,3.4503347895890575,1.7709374462973748,2,2.715665322286701,2,1.2356411922792674,2.4321287807106913,2.3129817649164384,1.7228684088479118,1.5205230577706614,2.3633021656436157,5.011274626913792,1.0895646391117804,3.8431823225960864,0.7524392949732182,1.1130123549485282,2.4779304292167406,1.717926914295946,2.1994068384620835,1.515280099342943,2.3177379736921755,2.212516860459661,3,1.3292181293751544,1.994895968948503,4.550685323426654,1.4898323023630018,2,2.073982079660185,3.067812219660585,3.088978824854744,2.986757366247076,2.6585108990657487,2.1106075675910265,3.2916927591985607,2,1.4535732193304998,2,3.4730794423603752,2.6328879549846227,3.922596020241364,2.782008089005094,2.7020471312337664,0.585119955818568,3.409586632423004,2.2284793815933344,2.399060036669076,1.9215427944882573,2.395193311427547,1.8483416366899983,2019-04-16 10:09,7
2.7929453120131593,2.943630608742484,2,3,1.917934160891783,1.5928431382886044,2,2.2593785661015073,2.233259521593736,1.4964442036318273,3.1279287809506586,3,2.940894896334157,2.2005017474665984,3.924691454324031,1.8113931063848376,3.4626499812985285,1.8218088959260077,4,3.6500523960552425,1.0752461542360523,3.638589319851735,1.7441314051561956,2.068901146738046,1.902334673921889,2.3780586905647647,1.9022829879190242,2.990480476300495,2,2.1830762779100126,2.071470705295296,2.3371833863051554,3,2,3,3.3042772726273184,2.4059210922050847,1.1818488947790242,2.891918293484786,3.173250370277619,2.4842042241665867,1.7784823501766467,2.4322457711012295,1.749193703047791,2,1.413794523345873,1.5327736791604079,3.0795262564321755,1.9952573723959632,2.796711502386195,0.20702341557770776,3.441474657484912,2.2119464485989133,2.765648281985437,2,2.664230320509099,2,2.4574137741182,2.344516348107486,3.668327652233602,2019-04-16 14:01,8
2.902859314391376,2.9372073846758866,2.8164394018893577,3,4.270171757641768,2.326163950266907,3,2,1.6798213749331508,2.3781653844745936,3.939208727506907,2.370001948257263,2.5453585115069064,3.8906944557095366,3.7616898426992558,4,4.6441134290074135,3.2020948690455935,3,4.250724340099808,1.8623268371910155,2.7012885416476538,4.698082144567104,2,3.1219103082206336,3.1594703923636835,3.8436729464057624,2.41472651874754,2.0265466150131495,4,3.062229338691399,4.171915791737046,2,3.5320092046259486,2.3519772605720766,2.2544795253274534,2.6942220075241448,2.0096758529872942,2.866236168850708,1.3368689062807086,4,2.788407800067923,2.971324414648777,2.472859567484021,3.587918805431698,2,3.3608540883182454,3.7420415751805174,3.4230369628894755,4.195978224963372,1.9503979880854565,0.49312866568178704,2.1477113545559012,3,2.4924024597776815,2.519025847121304,1.8231734694911146,2.029604461080684,2,3.635364203229683,2019-04-16 18:06,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-16 22:00,10
